water_year,last_snow,DOWY
2004,2004-04-23,205
2005,2005-04-28,209
2006,2006-05-08,219
2007,2007-04-27,208
2008,2008-05-20,232
2009,2009-05-19,230
2010,2010-05-14,225
2011,2011-05-30,241
2012,2012-05-13,225
2013,2013-05-08,219
2014,2014-05-14,225
2015,2015-04-30,211
2016,2016-04-16,198
2017,2017-05-05,216
2018,2018-05-06,217
2019,2019-05-05,216
2020,2020-05-08,220
2021,2021-04-20,201
