water_year,last_snow
2011,1900-06-01
2012,1900-05-30
2013,1900-05-12
2014,1900-05-15
2015,1900-04-21
2016,1900-05-10
2017,1900-05-22
2018,1900-05-12
2019,1900-05-11
2020,1900-05-10
2021,1900-06-02
