water_year,last_snow
2011,1900-05-20
2012,1900-05-08
2013,1900-05-04
2014,1900-05-02
2015,1900-04-16
2016,1900-04-21
2017,1900-05-17
2018,1900-05-09
2019,1900-04-25
2020,1900-05-07
2021,1900-05-03
