water_year,last_snow,DOWY
2011,2011-05-20,231
2012,2012-05-08,220
2013,2013-05-04,215
2014,2014-05-02,213
2015,2015-04-16,197
2016,2016-04-21,203
2017,2017-05-17,228
2018,2018-05-09,220
2019,2019-04-25,206
2020,2020-05-07,219
2021,2021-05-03,214
